time Area Area_std NumInNet
2350600 913.69026 118.27716 1024
2350800 913.76529 118.27686 1024
2351000 913.84478 118.29349 1024
2351200 913.93525 118.30144 1024
2351400 914.01289 118.29332 1024
2351600 914.10683 118.28354 1024
2351800 914.20284 118.27737 1024
2352000 914.30213 118.25875 1024
2352200 914.38514 118.26167 1024
2352400 914.4658 118.25692 1024
2352600 914.5656 118.26577 1024
2352800 914.66738 118.26953 1024
2353000 914.76764 118.2625 1024
2353200 914.85563 118.27413 1024
2353400 914.95925 118.2749 1024
2353600 915.04779 118.27821 1024
2353800 915.14946 118.27845 1024
2354000 915.24037 118.27052 1024
2354200 915.33512 118.27664 1024.6667
2354400 915.42337 118.27772 1024.6667
2354600 915.50447 118.28001 1024.6667
2354800 915.58314 118.27727 1024.6667
2355000 915.66365 118.26462 1024.6667
2355200 915.74829 118.26523 1024.6667
2355400 915.83894 118.28643 1024.6667
2355600 915.92842 118.29812 1024.6667
2355800 916.00904 118.32426 1024.6667
2356000 916.08074 118.33556 1024.6667
2356200 916.15998 118.34115 1024.6667
2356400 916.25012 118.33497 1024.6667
2356600 916.34529 118.331 1024.6667
2356800 916.42327 118.34017 1024.6667
2357000 916.49922 118.31285 1024.6667
2357200 916.58765 118.31252 1024.6667
2357400 916.65724 118.32228 1024.6667
2357600 916.74638 118.31653 1024.6667
2357800 916.8406 118.32251 1024.6667
2358000 916.93821 118.31877 1024.6667
2358200 917.03176 118.3106 1025.3333
2358400 917.1289 118.30413 1025.3333
2358600 917.21661 118.29474 1025.3333
2358800 917.32042 118.28151 1025.3333
2359000 917.42422 118.28388 1025.3333
2359200 917.52809 118.28326 1025.3333
2359400 917.60747 118.29782 1025.3333
2359600 917.70883 118.28948 1025.3333
2359800 917.80945 118.28822 1025.3333
2360000 917.92085 118.28335 1025.3333
