time Area Area_std
3666400 1187.9622 172.50282
3666600 1188.0572 172.52658
3666800 1188.1414 172.56
3667000 1188.2319 172.59352
3667200 1188.3136 172.62658
3667400 1188.3834 172.64052
3667600 1188.46 172.67505
3667800 1188.5573 172.71617
3668000 1188.6578 172.74671
3668200 1188.7423 172.79027
3668400 1188.8145 172.8226
3668600 1188.8788 172.85863
3668800 1188.9442 172.8868
3669000 1189.0205 172.94253
3669200 1189.0889 172.97978
3669400 1189.166 173.02017
3669600 1189.2474 173.06589
3669800 1189.331 173.11572
3670000 1189.4352 173.16347
3670200 1189.5224 173.17248
3670400 1189.6056 173.2087
3670600 1189.6872 173.23495
3670800 1189.7731 173.26327
3671000 1189.849 173.2989
3671200 1189.9327 173.33667
3671400 1190.0039 173.37683
3671600 1190.1046 173.43192
3671800 1190.2094 173.4747
3672000 1190.3018 173.51475
3672200 1190.39 173.56341
3672400 1190.4808 173.61355
3672600 1190.5573 173.67231
3672800 1190.6452 173.69897
3673000 1190.7391 173.74316
3673200 1190.8354 173.7784
3673400 1190.9387 173.81225
3673600 1191.0402 173.86383
3673800 1191.1485 173.90553
3674000 1191.252 173.95524
3674200 1191.3671 174.0115
3674400 1191.4507 174.07435
3674600 1191.5439 174.12146
3674800 1191.6185 174.1801
3675000 1191.723 174.24048
3675200 1191.8281 174.29319
3675400 1191.9253 174.35474
3675600 1192.0341 174.41253
3675800 1192.1416 174.47209
3676000 1192.2376 174.53378
3676200 1192.322 174.5904
3676400 1192.4117 174.62099
3676600 1192.506 174.67444
3676800 1192.6055 174.73337
3677000 1192.6923 174.79347
3677200 1192.7894 174.84941
3677400 1192.8873 174.90792
3677600 1192.9851 174.96192
3677800 1193.093 175.02495
3678000 1193.1843 175.0772
3678200 1193.295 175.13385
3678400 1193.3827 175.2007
3678600 1193.4731 175.25947
3678800 1193.5772 175.33001
3679000 1193.6665 175.37412
3679200 1193.7658 175.44209
3679400 1193.852 175.50364
3679600 1193.9449 175.56405
3679800 1194.0291 175.65169
3680000 1194.1069 175.69728
3680200 1194.2022 175.76665
3680400 1194.2754 175.82181
3680600 1194.3551 175.87191
3680800 1194.4287 175.91305
3681000 1194.5161 175.95449
3681200 1194.6152 176.0011
3681400 1194.7176 176.05653
3681600 1194.7951 176.11822
3681800 1194.8779 176.17042
3682000 1194.9623 176.20621
3682200 1195.0437 176.2648
3682400 1195.1488 176.33412
3682600 1195.2489 176.38872
3682800 1195.3331 176.43576
3683000 1195.4282 176.47886
3683200 1195.5412 176.53189
3683400 1195.6264 176.57705
3683600 1195.7179 176.63103
3683800 1195.8089 176.66501
3684000 1195.8994 176.7028
3684200 1195.9756 176.75555
3684400 1196.0574 176.8019
3684600 1196.1281 176.85207
3684800 1196.2151 176.9191
3685000 1196.282 176.96346
3685200 1196.3827 176.9965
3685400 1196.4756 177.05896
3685600 1196.5706 177.10973
3685800 1196.6818 177.14782
3686000 1196.7642 177.19906
3686200 1196.86 177.2493
3686400 1196.9595 177.30643
3686600 1197.0597 177.34274
3686800 1197.1584 177.39073
3687000 1197.2458 177.44583
3687200 1197.3388 177.49529
3687400 1197.4449 177.54831
3687600 1197.5459 177.58335
3687800 1197.647 177.61162
3688000 1197.7311 177.65171
3688200 1197.8239 177.71667
3688400 1197.9188 177.75979
3688600 1198.0116 177.82226
3688800 1198.1055 177.86715
3689000 1198.1986 177.89607
3689200 1198.2916 177.94213
3689400 1198.3942 178.00376
3689600 1198.4845 178.05004
3689800 1198.5975 178.09069
3690000 1198.7046 178.16545
3690200 1198.8074 178.22664
3690400 1198.9182 178.28465
3690600 1199.0182 178.33129
3690800 1199.111 178.3903
3691000 1199.2006 178.44852
3691200 1199.2779 178.49329
3691400 1199.3832 178.54375
3691600 1199.4676 178.58735
3691800 1199.5574 178.62311
3692000 1199.6475 178.67257
3692200 1199.7591 178.70888
3692400 1199.8623 178.75872
3692600 1199.9609 178.80606
3692800 1200.0724 178.85116
3693000 1200.1612 178.91348
3693200 1200.2526 178.96673
3693400 1200.3441 179.02854
3693600 1200.4287 179.10406
3693800 1200.5271 179.16902
3694000 1200.6211 179.21765
3694200 1200.7321 179.25648
3694400 1200.8384 179.29863
3694600 1200.9487 179.35364
3694800 1201.0508 179.40478
3695000 1201.1406 179.46962
3695200 1201.2438 179.52332
3695400 1201.351 179.58652
3695600 1201.4366 179.65196
3695800 1201.5217 179.7244
3696000 1201.5889 179.77792
3696200 1201.6728 179.8145
3696400 1201.7906 179.87032
3696600 1201.8778 179.92589
3696800 1201.974 179.96431
3697000 1202.0649 179.99447
3697200 1202.1593 180.04973
3697400 1202.2422 180.0883
3697600 1202.3408 180.14708
3697800 1202.424 180.18891
3698000 1202.5036 180.2373
3698200 1202.5794 180.29091
3698400 1202.6558 180.31508
