Time Strain Concentration
174200 0.05167269 0.1808293
174400 0.051728986 0.18080994
174600 0.051773271 0.18079472
174800 0.051801288 0.18078509
175000 0.051833608 0.18077398
175200 0.051885232 0.18075623
175400 0.051928355 0.18074141
175600 0.051941947 0.18073674
175800 0.051981099 0.18072329
176000 0.051986599 0.1807214
176200 0.052031536 0.18070596
176400 0.052078974 0.18068967
176600 0.052124741 0.18067395
176800 0.052211627 0.18064411
177000 0.052270638 0.18062385
177200 0.052321792 0.18060629
177400 0.052357796 0.18059393
177600 0.052395041 0.18058115
177800 0.05241817 0.18057321
178000 0.052462182 0.18055811
178200 0.052497827 0.18054588
178400 0.052519764 0.18053835
178600 0.052570487 0.18052095
178800 0.05260802 0.18050808
179000 0.05262873 0.18050098
179200 0.05264295 0.1804961
179400 0.052689508 0.18048013
179600 0.052769743 0.18045263
179800 0.0528425 0.18042769
180000 0.052916108 0.18040246
180200 0.052971608 0.18038344
180400 0.052997745 0.18037449
180600 0.053054877 0.18035492
180800 0.053092978 0.18034187
181000 0.053122271 0.18033183
181200 0.053191822 0.18030802
181400 0.053277517 0.18027868
181600 0.05329389 0.18027307
181800 0.053323278 0.18026302
182000 0.053350484 0.1802537
182200 0.053439396 0.18022328
182400 0.053483387 0.18020823
182600 0.0535368 0.18018995
182800 0.053621918 0.18016084
183000 0.053675615 0.18014248
183200 0.053747816 0.18011779
183400 0.053758437 0.18011416
