time,numberMonsInNetwork
5896000.0,2651.0
5897000.0,2650.0
5898000.0,2648.0
5899000.0,2633.0
5900000.0,2638.0
5901000.0,2646.0
5902000.0,2656.0
5903000.0,2654.0
5904000.0,2647.0
5905000.0,2646.0
5906000.0,2655.0
5907000.0,2663.0
5908000.0,2677.0
5909000.0,2667.0
5910000.0,2665.0
5911000.0,2656.0
5912000.0,2654.0
5913000.0,2661.0
5914000.0,2667.0
5915000.0,2664.0
5916000.0,2686.0
5917000.0,2692.0
5918000.0,2685.0
5919000.0,2694.0
5920000.0,2694.0
5921000.0,2685.0
5922000.0,2708.0
5923000.0,2709.0
5924000.0,2711.0
5925000.0,2703.0
5926000.0,2699.0
5927000.0,2698.0
5928000.0,2695.0
5929000.0,2686.0
5930000.0,2664.0
5931000.0,2671.0
5932000.0,2664.0
5933000.0,2651.0
5934000.0,2654.0
5935000.0,2666.0
5936000.0,2669.0
5937000.0,2678.0
5938000.0,2677.0
5939000.0,2674.0
5940000.0,2671.0
5941000.0,2671.0
5942000.0,2668.0
5943000.0,2676.0
5944000.0,2691.0
5945000.0,2684.0
5946000.0,2677.0
5947000.0,2680.0
5948000.0,2668.0
5949000.0,2684.0
5950000.0,2689.0
